epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,309.62,0.92436,0.9412,1.15818,0.8086,0.53067,0.54467,0.3727,1.5066,1.9617,1.67724,0.00058915,0.00058915,0.00058915
85,313.287,0.90976,0.94064,1.17141,0.82943,0.48003,0.50426,0.34559,1.51699,1.93576,1.67461,0.0005842,0.0005842,0.0005842
86,316.803,0.90672,0.91645,1.15421,0.8055,0.47732,0.50607,0.34523,1.61157,1.95844,1.7042,0.00057925,0.00057925,0.00057925
87,320.702,0.92709,0.92849,1.17589,0.8413,0.46138,0.51,0.35509,1.53313,1.94023,1.6284,0.0005743,0.0005743,0.0005743
88,324.318,0.90057,0.9137,1.15698,0.77816,0.49191,0.5244,0.35468,1.5425,1.82945,1.61882,0.00056935,0.00056935,0.00056935
89,330.369,0.89225,0.88355,1.14384,0.88788,0.48381,0.54751,0.3649,1.58467,1.86156,1.69977,0.0005644,0.0005644,0.0005644
90,334.12,0.87743,0.86341,1.12349,0.7288,0.39918,0.45102,0.29856,1.64392,2.03978,1.80349,0.00055945,0.00055945,0.00055945
91,338.063,0.89864,0.86848,1.14494,0.82717,0.5065,0.50374,0.35677,1.55401,1.89276,1.64419,0.0005545,0.0005545,0.0005545
92,341.595,0.88267,0.84277,1.12627,0.86505,0.4798,0.52276,0.35838,1.53999,1.91128,1.74104,0.00054955,0.00054955,0.00054955
93,345.297,0.90058,0.86173,1.13382,0.82641,0.47702,0.50296,0.33819,1.53014,2.00834,1.68427,0.0005446,0.0005446,0.0005446
94,348.793,0.8694,0.84283,1.13386,0.8652,0.51288,0.55793,0.38018,1.52324,1.91764,1.68128,0.00053965,0.00053965,0.00053965
95,352.267,0.86206,0.86318,1.13955,0.83344,0.5191,0.54489,0.37197,1.56726,1.82,1.74508,0.0005347,0.0005347,0.0005347
96,355.731,0.85956,0.82873,1.12977,0.78323,0.52413,0.53178,0.36844,1.52275,1.86641,1.64695,0.00052975,0.00052975,0.00052975
97,359.184,0.86507,0.83634,1.13779,0.81007,0.516,0.54659,0.37876,1.53831,1.8434,1.66208,0.0005248,0.0005248,0.0005248
98,362.893,0.84147,0.81731,1.12073,0.82625,0.49168,0.5087,0.34217,1.61061,1.98096,1.75519,0.00051985,0.00051985,0.00051985
99,366.543,0.85702,0.81564,1.13374,0.8084,0.52453,0.54478,0.37995,1.47478,1.92244,1.57349,0.0005149,0.0005149,0.0005149
100,370.292,0.85483,0.80822,1.11834,0.80156,0.50208,0.53976,0.36968,1.50171,1.89776,1.62323,0.00050995,0.00050995,0.00050995
101,374.119,0.80963,0.77118,1.09364,0.78788,0.53059,0.5306,0.36583,1.48236,1.80837,1.60344,0.000505,0.000505,0.000505
102,377.561,0.85913,0.8188,1.14296,0.81665,0.49571,0.48776,0.33869,1.49974,1.88389,1.60784,0.00050005,0.00050005,0.00050005
103,381.036,0.84553,0.80721,1.11961,0.84512,0.50762,0.53011,0.38014,1.50371,1.84427,1.62325,0.0004951,0.0004951,0.0004951
104,384.491,0.81119,0.79671,1.10328,0.82519,0.4975,0.5219,0.37112,1.52037,1.92729,1.66001,0.00049015,0.00049015,0.00049015
105,387.955,0.82951,0.77842,1.11801,0.84567,0.49962,0.53098,0.3629,1.54937,1.88421,1.65424,0.0004852,0.0004852,0.0004852
106,391.637,0.83066,0.76615,1.11116,0.82396,0.46206,0.49749,0.33761,1.52768,1.96706,1.70094,0.00048025,0.00048025,0.00048025
107,395.111,0.83466,0.77375,1.11071,0.80104,0.49338,0.51809,0.368,1.48328,1.79964,1.64052,0.0004753,0.0004753,0.0004753
108,398.563,0.81829,0.78479,1.11533,0.86813,0.464,0.52744,0.36533,1.532,1.94215,1.66374,0.00047035,0.00047035,0.00047035
109,402.057,0.86416,0.80195,1.12946,0.84781,0.51225,0.53404,0.38343,1.52858,1.9091,1.71242,0.0004654,0.0004654,0.0004654
